,Publication
13172,Twin deficits and fiscal spillovers in the EMU's periphery. A Keynesian perspective
13173,The global financial crisis and the euro-mediterranean partnership
13174,Testing the expectations hypothesis in the emerging markets of the middle east: An application to egyptian and lebanese treasury securities
13175,Syria: The painful transition towards democracy
13176,Localizing women's experiences in academia: multilevel factors at play in the Arab Middle East and North Africa
13177,The HR value proposition model in the Arab Middle East: Identifying the contours of an Arab Middle Eastern HR model
13178,HRM in the Middle East: toward a greater understanding
13179,Women's careers in the Arab Middle East: Understanding institutional constraints to the boundaryless career view
13180,Human capital management: A new name for HRM?
13181,"Structure, agency, and notions of career success a process-oriented, subjectively malleable and localized approach"
13182,Walking a tightrope or navigating a web: Parameters of balance within perceived institutional realities
13183,The formative role of contextual hardships in women's career calling
13184,A feminist poststructuralist critique of talent management: Toward a more gender sensitive body of knowledge
13185,Women and the legitimization of (not) engaging in paid work: logics from Lebanon
13186,The global refugee crisis and the career ecosystem
13187,Human resource management in Lebanon
13188,Gender and governance in developing economies
13189,Management and Organization Review Special Issue 'Social Networks €' the Dark and Bright Sides of Informal Networks'
13190,Contextual embeddedness of careers: female “nonsurvivors” and their gendered relational context
13191,"Informal Networks: Dark Sides, Bright Sides, and Unexplored Dimensions"
13192,Macro talent management theorizing: transnational perspectives of the political economy of talent formation in the Arab Middle East
13193,Career constructions and a feminist standpoint on the meaning of context
13194,Adaptive time-step with anisotropic meshing for incompressible flows
13195,Quasi-Monte Carlo methods for Markov chains with continuous multi-dimensional state space
13196,A globally adaptive explicit numerical method for exploding systems of ordinary differential equations
13197,Introduction to computational linear algebra
13198,A simulation model for the physiological tick life cycle
13199,An adaptive parallel-in-time method with application to a membrane problem
13200,An adaptive parallel-in-time method with application to a membrane problem
13201,Introduction to numerical analysis and scientific computing
13202,Community involvement in out of hospital cardiac arrest: A cross-sectional study assessing cardiopulmonary resuscitation awareness and barriers among the Lebanese youth
13203,Trends and Predictors of Limb Tourniquet Use by Civilian Emergency Medical Services in the United States
13204,Epidemiology and clinical characteristics of traumatic brain injury in Lebanon A systematic review
13205,"Out-of-hospital cardiac arrest survival in Beirut, Lebanon"
13206,Prehospital emergency medical services in Lebanon: Overview and prospects
13207,Measuring the impact of emergency medical services (EMS) on out-of-hospital cardiac arrest survival in a developing country
13208,Description of procedures performed on patients by emergency medical services during mass casualty incidents in the United States
13209,Emergency response to mass casualty incidents in Lebanon.
13210,ECMO use and mortality in adult patients with cardiogenic shock: A retrospective observational study in U.S. hospitals
13211,Epidemiology of burn patients presenting to a tertiary hospital emergency department in Lebanon
13212,Submersion injuries in the United States: Patients characteristics and predictors of mortality and morbidity
13213,Prehospital ultrasound in trauma: A review of current and potential future clinical applications
13214,Impact of Ramadan on emergency department visits and on medical emergencies
13215,Developing a hospital disaster preparedness plan for mass casualty incidents: Lessons learned from the downtown Beirut bombing
13216,Description of medication administration by emergency medical services during mass-casualty incidents in the United States
13217,"Epidemiology, etiology, and outcomes of out-of-hospital cardiac arrest in young patients in lebanon"
13218,Suffocation injuries in the United States: Patient characteristics and factors associated with mortality
13219,"Emergency Medical Services Utilization in EMS Priority Conditions in Beirut, Lebanon"
13220,Ventilator use by emergency medical services during 911 calls in the United States
13221,Assessment of cardiopulmonary resuscitation practices in emergency departments for out-of-hospital cardiac arrest victims in Lebanon
13222,Disaster metrics: Quantitative estimation of the number of ambulances required in trauma-related multiple casualty events
13223,Developing emergency and trauma systems internationally: What is really needed for better outcomes?
13224,Clinical utility and economic burden of routine serum lipase determination in the Emergency Department
13225,Emergency Medical Services Utilization and Outcomes of Patients with ST-Elevation Myocardial Infarction in Lebanon
13226,Outcomes in cardiogenic shock patients with extracorporeal membrane oxygenation use: A matched cohort study in hospitals across the United States
13227,Description of blast injuries and predictors of admission to hospital in blast victims in an urban civilian setting
13228,"Carbon monoxide poisoning in Beirut, Lebanon: Patient′s characteristics and exposure sources"
13229,"What's new in emergencies, trauma, and shock? Correlating rapid prehospital transport and survival"
13230,Resuscitation of out-of-hospital cardiac arrest victims in Lebanon: The experience and views of prehospital providers
13231,"Gunshot injuries in Lebanon: Does intent affect characteristics, injury patterns, and outcomes in victims?"
13232,Dispatcher assisted cardiopulmonary resuscitation implementation in Kuwait A before and after study examining the impact on outcomes of out of hospital cardiac arrest victims
13233,Impact of prehospital mechanical ventilation: A retrospective matched cohort study of 911 calls in the United States
13234,Out of hospital cardiac arrest outcomes: Impact of weekdays vs weekends admission on survival to hospital discharge
13235,Riots in Beirut: Description of the Impact of a New Type of Mass Casualty Event on the Emergency System in Lebanon
13236,Out-of-hospital cardiopulmonary resuscitation: A position statement of the Lebanese Society of Cardiology and the Lebanese Society of Emergency Medicine
13237,Interfacility patient transfers in Lebanon-A culture-changing initiative to improve patient safety and outcomes
13238,Impact of trauma designation levels on survival of drowning victims: An observational study from trauma centers in the United States
13239,Emergency medical services experience with barb removal after taser use by law enforcement: A descriptive national study
13240,COVID-19 and diabetes mellitus: how one pandemic worsens the other
13241,Impact of trauma level designation on survival of patients arriving with no signs of life to US trauma centers
13242,Significance of Clostridium difficile in community-acquired diarrhea in a tertiary care center in Lebanon
